"","social_pm.date","social_pm.blog","social_pm.twitter","social_pm.news","social_pm.total"
"134","2016-05-13",831,467,101,1399
"135","2016-05-14",514,319,51,884
"136","2016-05-15",505,282,35,822
"137","2016-05-16",947,544,172,1663
"138","2016-05-17",871,418,160,1449
"139","2016-05-18",722,332,141,1195
"140","2016-05-19",646,480,145,1271
"141","2016-05-20",575,383,91,1049
"142","2016-05-21",327,321,46,694
"143","2016-05-22",297,295,46,638
"144","2016-05-23",614,561,177,1352
"145","2016-05-24",646,405,106,1157
"146","2016-05-25",817,811,170,1798
"147","2016-05-26",2447,2453,216,5116
"148","2016-05-27",2449,2188,196,4833
"149","2016-05-28",1323,1199,111,2633
"150","2016-05-29",1051,1015,123,2189
"151","2016-05-30",2078,2446,233,4757
"152","2016-05-31",2046,2453,284,4783
"153","2016-06-01",1869,2185,375,4429
"154","2016-06-02",1488,1622,418,3528
"155","2016-06-03",1266,1897,455,3618
"156","2016-06-04",590,956,110,1656
"157","2016-06-05",525,872,155,1552
"158","2016-06-06",619,1345,144,2108
"159","2016-06-07",987,1234,205,2426
"160","2016-06-08",843,848,230,1921
"161","2016-06-09",829,751,165,1745
"162","2016-06-10",806,726,172,1704
"163","2016-06-11",456,924,63,1443
"164","2016-06-12",402,953,104,1459
"165","2016-06-13",792,729,190,1711
"166","2016-06-14",693,654,161,1508
"167","2016-06-15",644,677,91,1412
"168","2016-06-16",671,816,133,1620
"169","2016-06-17",531,824,77,1432
"170","2016-06-18",441,566,46,1053
"171","2016-06-19",304,626,75,1005
"172","2016-06-20",540,1312,105,1957
"173","2016-06-21",596,852,112,1560
"174","2016-06-22",635,1154,169,1958
"175","2016-06-23",512,806,163,1481
"176","2016-06-24",541,551,70,1162
"177","2016-06-25",325,299,29,653
"178","2016-06-26",328,207,72,607
"179","2016-06-27",575,280,100,955
"180","2016-06-28",485,465,166,1116
"181","2016-06-29",484,497,106,1087
"182","2016-06-30",475,487,117,1079
"183","2016-07-01",474,475,157,1106
"184","2016-07-02",247,610,38,895
"185","2016-07-03",242,256,48,546
"186","2016-07-04",444,242,91,777
"187","2016-07-05",403,305,100,808
"188","2016-07-06",483,337,185,1005
"189","2016-07-07",401,347,123,871
"190","2016-07-08",408,377,77,862
"191","2016-07-09",232,214,24,470
"192","2016-07-10",164,206,46,416
"193","2016-07-11",392,258,72,722
"194","2016-07-12",333,168,62,563
"195","2016-07-13",401,206,61,668
"196","2016-07-14",361,222,64,647
"197","2016-07-15",327,210,45,582
"198","2016-07-16",170,166,25,361
"199","2016-07-17",141,145,53,339
"200","2016-07-18",301,148,76,525
"201","2016-07-19",325,222,53,600
"202","2016-07-20",306,293,89,688
"203","2016-07-21",305,348,120,773
"204","2016-07-22",299,172,78,549
"205","2016-07-23",137,139,23,299
"206","2016-07-24",129,141,34,304
"207","2016-07-25",273,191,49,513
"208","2016-07-26",261,214,45,520
"209","2016-07-27",253,157,103,513
"210","2016-07-28",280,188,73,541
"211","2016-07-29",260,411,43,714
"212","2016-07-30",129,142,10,281
"213","2016-07-31",119,91,31,241
"214","2016-08-01",220,169,62,451
"215","2016-08-02",230,129,52,411
"216","2016-08-03",268,136,51,455
"217","2016-08-04",277,254,94,625
"218","2016-08-05",309,206,45,560
"219","2016-08-06",137,152,16,305
"220","2016-08-07",118,109,17,244
"221","2016-08-08",192,144,21,357
"222","2016-08-09",247,136,38,421
"223","2016-08-10",408,437,141,986
"224","2016-08-11",241,194,61,496
"225","2016-08-12",217,146,41,404
"226","2016-08-13",124,122,14,260
"227","2016-08-14",90,119,25,234
"228","2016-08-15",134,126,21,281
"229","2016-08-16",240,132,118,490
"230","2016-08-17",221,136,49,406
"231","2016-08-18",254,178,73,505
"232","2016-08-19",216,188,43,447
"233","2016-08-20",121,129,15,265
"234","2016-08-21",110,113,33,256
"235","2016-08-22",229,124,42,395
"236","2016-08-23",208,245,75,528
"237","2016-08-24",205,132,70,407
"238","2016-08-25",204,129,59,392
"239","2016-08-26",234,163,37,434
"240","2016-08-27",186,166,11,363
"241","2016-08-28",151,132,23,306
"242","2016-08-29",327,210,57,594
"243","2016-08-30",260,227,84,571
"244","2016-08-31",268,196,44,508
"245","2016-09-01",341,790,27,1158
"246","2016-09-02",239,172,41,452
"247","2016-09-03",119,141,12,272
"248","2016-09-04",105,133,23,261
"249","2016-09-05",236,228,83,547
"250","2016-09-06",525,1433,167,2125
"251","2016-09-07",1500,3969,194,5663
"252","2016-09-08",987,1197,109,2293
"253","2016-09-09",595,761,66,1422
"254","2016-09-10",300,369,45,714
"255","2016-09-11",251,224,39,514
"256","2016-09-12",373,246,82,701
"257","2016-09-13",266,227,38,531
"258","2016-09-14",129,165,34,328
"259","2016-09-15",93,168,27,288
"260","2016-09-16",128,210,16,354
"261","2016-09-17",162,179,11,352
"262","2016-09-18",153,163,30,346
"263","2016-09-19",258,210,77,545
"264","2016-09-20",329,215,70,614
"265","2016-09-21",294,182,74,550
"266","2016-09-22",310,180,84,574
"267","2016-09-23",320,209,65,594
"268","2016-09-24",190,273,39,502
"269","2016-09-25",332,464,69,865
"270","2016-09-26",465,265,91,821
"271","2016-09-27",367,173,68,608
"272","2016-09-28",323,172,66,561
"273","2016-09-29",362,166,70,598
"274","2016-09-30",291,150,47,488
"275","2016-10-01",147,158,20,325
"276","2016-10-02",149,158,18,325
"277","2016-10-03",209,172,18,399
"278","2016-10-04",265,179,36,480
"279","2016-10-05",261,179,53,493
"280","2016-10-06",268,162,41,471
"281","2016-10-07",225,172,35,432
"282","2016-10-08",138,131,23,292
"283","2016-10-09",142,208,16,366
"284","2016-10-10",248,250,65,563
"285","2016-10-11",238,278,59,575
"286","2016-10-12",317,387,90,794
"287","2016-10-13",257,253,90,600
"288","2016-10-14",587,948,124,1659
"289","2016-10-15",694,1235,88,2017
"290","2016-10-16",494,475,44,1013
"291","2016-10-17",684,428,90,1202
"292","2016-10-18",545,407,95,1047
"293","2016-10-19",592,493,114,1199
"294","2016-10-20",745,742,100,1587
"295","2016-10-21",551,370,68,989
"296","2016-10-22",269,208,27,504
"297","2016-10-23",233,246,18,497
"298","2016-10-24",353,238,59,650
"299","2016-10-25",364,237,66,667
"300","2016-10-26",474,394,77,945
"301","2016-10-27",361,243,53,657
"302","2016-10-28",260,211,38,509
"303","2016-10-29",148,204,16,368
"304","2016-10-30",141,235,39,415
"305","2016-10-31",286,208,74,568
"306","2016-11-01",240,213,56,509
"307","2016-11-02",243,220,78,541
"308","2016-11-03",299,243,88,630
"309","2016-11-04",454,383,107,944
"310","2016-11-05",495,644,54,1193
"311","2016-11-06",539,379,80,998
"312","2016-11-07",625,188,69,882
"313","2016-11-08",419,231,52,702
"314","2016-11-09",349,146,62,557
"315","2016-11-10",287,188,71,546
"316","2016-11-11",406,328,99,833
"317","2016-11-12",256,298,50,604
"318","2016-11-13",270,221,61,552
"319","2016-11-14",559,325,100,984
"320","2016-11-15",418,235,90,743
"321","2016-11-16",351,179,101,631
"322","2016-11-17",395,335,128,858
"323","2016-11-18",817,768,130,1715
"324","2016-11-19",425,382,54,861
"325","2016-11-20",312,160,49,521
"326","2016-11-21",440,217,57,714
"327","2016-11-22",338,156,74,568
"328","2016-11-23",309,147,48,504
"329","2016-11-24",277,151,52,480
"330","2016-11-25",268,143,49,460
"331","2016-11-26",158,146,26,330
"332","2016-11-27",200,268,56,524
"333","2016-11-28",531,569,162,1262
"334","2016-11-29",418,206,127,751
"335","2016-11-30",334,187,71,592
"336","2016-12-01",390,320,137,847
"337","2016-12-02",291,207,87,585
"338","2016-12-03",176,179,61,416
"339","2016-12-04",258,293,84,635
"340","2016-12-05",1083,1315,181,2579
"341","2016-12-06",608,363,104,1075
"342","2016-12-07",444,273,107,824
"343","2016-12-08",424,307,92,823
"344","2016-12-09",345,226,64,635
"345","2016-12-10",166,219,36,421
"346","2016-12-11",178,166,38,382
"347","2016-12-12",352,227,113,692
"348","2016-12-13",398,252,100,750
"349","2016-12-14",318,241,44,603
"350","2016-12-15",270,206,58,534
"351","2016-12-16",238,198,58,494
"352","2016-12-17",198,383,75,656
"353","2016-12-18",250,314,62,626
"354","2016-12-19",384,225,104,713
"355","2016-12-20",458,577,104,1139
"356","2016-12-21",355,426,60,841
"357","2016-12-22",314,249,53,616
"358","2016-12-23",255,214,58,527
"359","2016-12-24",165,164,50,379
"360","2016-12-25",172,267,70,509
"361","2016-12-26",330,193,93,616
"362","2016-12-27",272,153,65,490
"363","2016-12-28",240,171,75,486
"364","2016-12-29",270,159,61,490
"365","2016-12-30",219,157,69,445
"366","2016-12-31",177,154,54,385
"367","2017-01-01",243,314,83,640
"368","2017-01-02",635,1223,12,1870
"369","2017-01-03",1135,1204,238,2577
"370","2017-01-04",1095,821,171,2087
"371","2017-01-05",888,554,116,1558
"372","2017-01-06",721,397,96,1214
"373","2017-01-07",385,250,38,673
"374","2017-01-08",322,201,54,577
"375","2017-01-09",501,431,113,1045
"376","2017-01-10",437,303,75,815
"377","2017-01-11",382,229,78,689
"378","2017-01-12",321,214,49,584
"379","2017-01-13",274,174,35,483
"380","2017-01-14",191,153,18,362
"381","2017-01-15",177,222,27,426
"382","2017-01-16",319,170,94,583
"383","2017-01-17",414,305,99,818
"384","2017-01-18",1100,1476,178,2754
"385","2017-01-19",1661,1723,187,3571
"386","2017-01-20",737,467,65,1269
"387","2017-01-21",302,197,26,525
"388","2017-01-22",229,342,42,613
"389","2017-01-23",407,176,76,659
"390","2017-01-24",374,203,102,679
"391","2017-01-25",365,249,129,743
"392","2017-01-26",231,282,105,618
"393","2017-01-27",217,872,109,1198
"394","2017-01-28",121,212,34,367
"395","2017-01-29",122,138,30,290
"396","2017-01-30",213,174,39,426
"397","2017-01-31",355,186,80,621
"398","2017-02-01",309,178,95,582
"399","2017-02-02",315,188,93,596
"400","2017-02-03",549,477,109,1135
"401","2017-02-04",477,667,68,1212
"402","2017-02-05",423,380,57,860
"403","2017-02-06",546,251,108,905
"404","2017-02-07",451,198,100,749
"405","2017-02-08",440,209,102,751
"406","2017-02-09",355,166,69,590
"407","2017-02-10",276,182,34,492
"408","2017-02-11",178,152,20,350
"409","2017-02-12",186,161,26,373
"410","2017-02-13",399,212,84,695
"411","2017-02-14",429,257,177,863
"412","2017-02-15",534,256,129,919
"413","2017-02-16",541,367,127,1035
"414","2017-02-17",423,245,71,739
"415","2017-02-18",222,163,30,415
"416","2017-02-19",191,162,48,401
"417","2017-02-20",366,218,105,689
"418","2017-02-21",340,209,64,613
"419","2017-02-22",380,205,72,657
"420","2017-02-23",351,160,84,595
"421","2017-02-24",340,179,89,608
"422","2017-02-25",240,198,75,513
"423","2017-02-26",280,266,66,612
"424","2017-02-27",448,285,127,860
"425","2017-02-28",443,286,105,834
"426","2017-03-01",297,256,74,627
"427","2017-03-02",432,267,125,824
"428","2017-03-03",429,241,125,795
"429","2017-03-04",298,283,69,650
"430","2017-03-05",408,408,80,896
"431","2017-03-06",627,370,104,1101
"432","2017-03-07",453,267,100,820
"433","2017-03-08",496,377,110,983
"434","2017-03-09",439,265,132,836
"435","2017-03-10",420,198,107,725
"436","2017-03-11",304,419,74,797
"437","2017-03-12",697,1012,121,1830
"438","2017-03-13",1117,729,215,2061
"439","2017-03-14",771,420,136,1327
"440","2017-03-15",710,297,140,1147
"441","2017-03-16",750,459,231,1440
"442","2017-03-17",1113,1232,211,2556
"443","2017-03-18",1063,1435,106,2604
"444","2017-03-19",1584,1854,187,3625
"445","2017-03-20",3463,4664,291,8418
"446","2017-03-21",3533,7400,311,11244
"447","2017-03-22",2832,3505,236,6573
"448","2017-03-23",2479,2843,249,5571
"449","2017-03-24",1978,2012,203,4193
"450","2017-03-25",1104,1546,91,2741
"451","2017-03-26",988,1142,83,2213
"452","2017-03-27",2389,3594,232,6215
"453","2017-03-28",2784,5015,395,8194
"454","2017-03-29",2620,4575,277,7472
"455","2017-03-30",2668,4393,238,7299
"456","2017-03-31",2674,4893,156,7723
"457","2017-04-01",1415,3000,75,4490
"458","2017-04-02",1344,2383,172,3899
"459","2017-04-03",4611,3742,282,8635
"460","2017-04-04",3280,3980,406,7666
"461","2017-04-05",3440,3848,372,7660
"462","2017-04-06",2927,3050,338,6315
"463","2017-04-07",2367,2900,220,5487
"464","2017-04-08",1591,3063,155,4809
"465","2017-04-09",1793,2383,146,4322
"466","2017-04-10",2955,2748,348,6051
"467","2017-04-11",2665,1898,290,4853
"468","2017-04-12",2505,1953,324,4782
"469","2017-04-13",2260,2222,420,4902
"470","2017-04-14",2030,1553,182,3765
"471","2017-04-15",1138,1329,101,2568
"472","2017-04-16",1152,1048,98,2298
"473","2017-04-17",2087,1300,267,3654
"474","2017-04-18",1948,1436,293,3677
"475","2017-04-19",2446,3756,335,6537
"476","2017-04-20",2508,2646,321,5475
"477","2017-04-21",2333,2377,256,4966
"478","2017-04-22",1409,1680,114,3203
"479","2017-04-23",1378,1054,152,2584
"480","2017-04-24",2300,1185,243,3728
"481","2017-04-25",1871,1357,258,3486
"482","2017-04-26",1744,1032,362,3138
"483","2017-04-27",1676,1052,326,3054
"484","2017-04-28",1490,958,225,2673
"485","2017-04-29",890,1305,98,2293
"486","2017-04-30",1239,2320,127,3686
"487","2017-05-01",2040,3651,241,5932
"488","2017-05-02",2282,3811,226,6319
"489","2017-05-03",1515,2040,178,3733
"490","2017-05-04",1614,1673,224,3511
"491","2017-05-05",1143,3120,167,4430
"492","2017-05-06",4072,31093,351,35516
"493","2017-05-07",4671,13555,342,18568
"494","2017-05-08",6319,12237,438,18994
"495","2017-05-09",4809,6053,292,11154
"496","2017-05-10",4540,3761,299,8600
"497","2017-05-11",3692,2830,276,6798
"498","2017-05-12",3786,3226,310,7322
"499","2017-05-13",2282,2402,125,4809
"500","2017-05-14",2199,1984,139,4322
"501","2017-05-15",3560,2649,449,6658
"502","2017-05-16",3183,2018,506,5707
"503","2017-05-17",2885,1652,362,4899
"504","2017-05-18",2341,1114,266,3721
"505","2017-05-19",1858,1221,293,3372
"506","2017-05-20",1122,922,107,2151
"507","2017-05-21",1108,791,200,2099
"508","2017-05-22",1910,883,319,3112
"509","2017-05-23",1566,812,230,2608
"510","2017-05-24",1570,873,228,2671
"511","2017-05-25",1445,847,265,2557
"512","2017-05-26",1801,1380,275,3456
"513","2017-05-27",1162,690,171,2023
"514","2017-05-28",1083,703,180,1966
"515","2017-05-29",1675,1217,290,3182
"516","2017-05-30",1566,1188,294,3048
"517","2017-05-31",1351,640,251,2242
"518","2017-06-01",1154,696,319,2169
"519","2017-06-02",1091,719,256,2066
"520","2017-06-03",679,534,103,1316
"521","2017-06-04",798,519,179,1496
"522","2017-06-05",1256,480,289,2025
"523","2017-06-06",754,408,109,1271
"524","2017-06-07",1029,407,151,1587
"525","2017-06-08",993,558,255,1806
"526","2017-06-09",899,527,181,1607
"527","2017-06-10",561,484,64,1109
"528","2017-06-11",561,435,147,1143
"529","2017-06-12",951,419,239,1609
"530","2017-06-13",735,384,182,1301
"531","2017-06-14",744,390,209,1343
"532","2017-06-15",660,333,149,1142
"533","2017-06-16",722,722,88,1532
"534","2017-06-17",428,333,76,837
"535","2017-06-18",408,307,75,790
"536","2017-06-19",686,453,196,1335
"537","2017-06-20",707,414,158,1279
"538","2017-06-21",669,414,155,1238
"539","2017-06-22",580,326,131,1037
"540","2017-06-23",479,320,113,912
"541","2017-06-24",291,264,36,591
"542","2017-06-25",345,356,77,778
"543","2017-06-26",581,471,260,1312
"544","2017-06-27",547,343,238,1128
"545","2017-06-28",504,353,144,1001
"546","2017-06-29",558,370,178,1106
"547","2017-06-30",588,418,171,1177
"548","2017-07-01",355,296,45,696
"549","2017-07-02",334,234,64,632
"550","2017-07-03",499,311,152,962
"551","2017-07-04",453,278,146,877
"552","2017-07-05",455,338,142,935
"553","2017-07-06",468,330,108,906
"554","2017-07-07",436,328,103,867
"555","2017-07-08",224,273,35,532
"556","2017-07-09",174,201,49,424
"557","2017-07-10",375,254,127,756
"558","2017-07-11",430,401,187,1018
"559","2017-07-12",449,420,114,983
"560","2017-07-13",426,284,120,830
"561","2017-07-14",424,319,80,823
"562","2017-07-15",213,148,35,396
"563","2017-07-16",193,157,87,437
"564","2017-07-17",355,202,109,666
"565","2017-07-18",376,206,99,681
"566","2017-07-19",485,380,222,1087
"567","2017-07-20",460,366,141,967
"568","2017-07-21",425,346,106,877
"569","2017-07-22",216,340,54,610
"570","2017-07-23",215,322,49,586
"571","2017-07-24",404,256,95,755
"572","2017-07-25",371,409,151,931
"573","2017-07-26",469,378,131,978
"574","2017-07-27",359,235,113,707
"575","2017-07-28",290,217,79,586
"576","2017-07-29",185,193,22,400
"577","2017-07-30",165,146,33,344
"578","2017-07-31",315,180,95,590
"579","2017-08-01",307,206,103,616
"580","2017-08-02",294,222,129,645
"581","2017-08-03",304,229,96,629
"582","2017-08-04",277,217,73,567
"583","2017-08-05",175,192,18,385
"584","2017-08-06",188,207,22,417
"585","2017-08-07",289,270,75,634
"586","2017-08-08",307,224,79,610
"587","2017-08-09",284,210,86,580
"588","2017-08-10",273,162,73,508
"589","2017-08-11",275,235,68,578
"590","2017-08-12",179,199,21,399
"591","2017-08-13",157,145,49,351
"592","2017-08-14",276,152,48,476
"593","2017-08-15",197,146,27,370
"594","2017-08-16",311,174,79,564
"595","2017-08-17",293,164,97,554
"596","2017-08-18",267,189,63,519
"597","2017-08-19",146,135,37,318
"598","2017-08-20",136,152,24,312
"599","2017-08-21",329,180,104,613
"600","2017-08-22",276,161,87,524
"601","2017-08-23",310,153,79,542
"602","2017-08-24",257,160,89,506
"603","2017-08-25",267,168,99,534
"604","2017-08-26",151,168,42,361
"605","2017-08-27",140,145,36,321
"606","2017-08-28",304,152,81,537
"607","2017-08-29",340,167,117,624
"608","2017-08-30",300,143,103,546
"609","2017-08-31",311,181,84,576
"610","2017-09-01",263,157,108,528
"611","2017-09-02",118,147,38,303
"612","2017-09-03",130,161,45,336
"613","2017-09-04",300,155,91,546
"614","2017-09-05",257,149,98,504
"615","2017-09-06",298,173,80,551
"616","2017-09-07",351,189,101,641
"617","2017-09-08",502,955,149,1606
"618","2017-09-09",389,806,80,1275
"619","2017-09-10",481,608,102,1191
"620","2017-09-11",609,297,114,1020
"621","2017-09-12",491,230,121,842
"622","2017-09-13",430,201,96,727
"623","2017-09-14",408,155,125,688
"624","2017-09-15",379,172,101,652
"625","2017-09-16",225,156,26,407
"626","2017-09-17",262,221,47,530
"627","2017-09-18",484,200,114,798
"628","2017-09-19",1522,4018,226,5766
"629","2017-09-20",1233,1213,229,2675
"630","2017-09-21",757,391,119,1267
"631","2017-09-22",548,289,103,940
"632","2017-09-23",431,532,96,1059
"633","2017-09-24",712,833,123,1668
"634","2017-09-25",1143,774,220,2137
"635","2017-09-26",798,526,190,1514
"636","2017-09-27",662,368,158,1188
"637","2017-09-28",518,263,142,923
"638","2017-09-29",409,274,96,779
"639","2017-09-30",264,194,38,496
"640","2017-10-01",198,170,26,394
"641","2017-10-02",212,184,31,427
"642","2017-10-03",156,182,29,367
"643","2017-10-04",115,144,18,277
"644","2017-10-05",122,143,32,297
"645","2017-10-06",155,170,30,355
"646","2017-10-07",165,214,44,423
"647","2017-10-08",161,152,47,360
"648","2017-10-09",214,178,39,431
"649","2017-10-10",322,231,72,625
"650","2017-10-11",327,200,109,636
"651","2017-10-12",327,180,100,607
"652","2017-10-13",280,185,94,559
"653","2017-10-14",178,151,36,365
"654","2017-10-15",177,163,88,428
"655","2017-10-16",340,188,121,649
"656","2017-10-17",361,172,104,637
"657","2017-10-18",346,195,85,626
"658","2017-10-19",303,165,90,558
"659","2017-10-20",283,173,60,516
"660","2017-10-21",168,166,30,364
"661","2017-10-22",169,173,35,377
"662","2017-10-23",299,177,87,563
"663","2017-10-24",299,141,94,534
"664","2017-10-25",343,251,162,756
"665","2017-10-26",633,652,218,1503
"666","2017-10-27",689,680,150,1519
"667","2017-10-28",307,265,53,625
"668","2017-10-29",337,452,58,847
"669","2017-10-30",461,288,90,839
"670","2017-10-31",400,237,125,762
"671","2017-11-01",407,374,142,923
"672","2017-11-02",442,341,109,892
"673","2017-11-03",410,293,72,775
"674","2017-11-04",282,358,70,710
"675","2017-11-05",283,226,87,596
"676","2017-11-06",470,246,119,835
"677","2017-11-07",446,270,101,817
"678","2017-11-08",833,1122,212,2167
"679","2017-11-09",556,416,162,1134
"680","2017-11-10",518,398,133,1049
"681","2017-11-11",314,619,90,1023
"682","2017-11-12",333,280,86,699
"683","2017-11-13",484,332,174,990
"684","2017-11-14",469,373,166,1008
"685","2017-11-15",407,228,136,771
"686","2017-11-16",296,228,65,589
"687","2017-11-17",259,218,40,517
"688","2017-11-18",144,145,20,309
"689","2017-11-19",184,172,30,386
"690","2017-11-20",351,219,96,666
"691","2017-11-21",369,245,115,729
"692","2017-11-22",361,371,145,877
"693","2017-11-23",351,218,86,655
"694","2017-11-24",306,217,67,590
"695","2017-11-25",144,170,36,350
"696","2017-11-26",180,188,55,423
"697","2017-11-27",340,216,104,660
"698","2017-11-28",534,520,172,1226
"699","2017-11-29",555,402,112,1069
"700","2017-11-30",386,185,76,647
"701","2017-12-01",303,159,71,533
"702","2017-12-02",157,120,47,324
"703","2017-12-03",193,236,78,507
"704","2017-12-04",357,268,97,722
"705","2017-12-05",342,187,68,597
"706","2017-12-06",295,137,97,529
"707","2017-12-07",305,229,115,649
"708","2017-12-08",247,187,62,496
"709","2017-12-09",139,125,33,297
"710","2017-12-10",131,169,39,339
"711","2017-12-11",280,212,65,557
"712","2017-12-12",268,253,99,620
"713","2017-12-13",272,208,119,599
"714","2017-12-14",307,254,172,733
"715","2017-12-15",342,454,195,991
"716","2017-12-16",137,168,40,345
"717","2017-12-17",123,255,77,455
"718","2017-12-18",279,190,138,607
"719","2017-12-19",305,142,124,571
"720","2017-12-20",234,142,117,493
"721","2017-12-21",265,137,127,529
"722","2017-12-22",275,312,134,721
"723","2017-12-23",438,1862,140,2440
"724","2017-12-24",533,1417,157,2107
"725","2017-12-25",381,377,82,840
"726","2017-12-26",475,283,106,864
"727","2017-12-27",399,224,100,723
"728","2017-12-28",399,312,155,866
"729","2017-12-29",646,1188,258,2092
"730","2017-12-30",850,2430,190,3470
"731","2017-12-31",630,851,115,1596
"732","2018-01-01",399,239,91,729
"733","2018-01-02",572,244,114,930
"734","2018-01-03",504,295,90,889
"735","2018-01-04",453,276,105,834
"736","2018-01-05",411,268,108,787
"737","2018-01-06",240,237,64,541
"738","2018-01-07",275,264,54,593
"739","2018-01-08",460,442,85,987
"740","2018-01-09",413,377,94,884
"741","2018-01-10",358,247,85,690
"742","2018-01-11",341,192,73,606
"743","2018-01-12",300,231,63,594
"744","2018-01-13",277,321,82,680
