,Store,Address,지역구,,,,,,,,,,Service
159,GS25가양7단지점,서울,강서구,허준로209,(가양동,1486),,,,,,,CAFE25의약품택배
160,GS25가양8단지점,서울,강서구,허준로176,(가양동,1482),,,,,,,CAFE25치킨25의약품택배
161,GS25가양글로벌점,서울,강서구,"화곡로72길62,",107호,(가양동,"448-11,",가양글로벌퍼스트),,,,,CAFE25치킨25의약품택배
162,GS25가양메르디앙점,서울,강서구,"양천로516,",103호,(등촌동,720),,,,,,CAFE25치킨25의약품택배
163,GS25가양우성점,서울,강서구,"양천로57길10-20,",상가,104호(가양2동,"1480-5,",이스타빌),,,,,CAFE25베이커리치킨25의약품택배현금 출금
164,GS25가양테크노점,서울,강서구,"화곡로68길15,",",",22번지,103호,(등촌동,"628-7,",아벨테크노지식산업센터),,,의약품택배
165,GS25가양향교점,서울,강서구,"양천로49길54,",101호,(가양동,"194-2,",양천향교지웰에스테이트),,,,,CAFE25베이커리치킨25의약품택배현금 입/출금현금 출금
166,GS25가재울뉴타운점,서울,서대문구,"수색로100,",101-1,(북가좌1동,"144,",가재울뉴타운3구역1블럭),,,,,의약품택배현금 출금
167,GS25가재울삼성점,서울,서대문구,"수색로6길17-14,",1층,제101호,(북가좌동,"484,",성공타워2,제성공타워2-에이동,제),,택배현금 출금
168,GS25가재울아이파크점,서울,서대문구,남가좌동124-1번지,DMC파크뷰자이,103동,102호,,,,,,CAFE25의약품택배
169,GS25가재울이편한점,서울,서대문구,"수색로100,",디엠씨래미안이편한세상,1단지,상가3동,1층,3-01호,(북가좌동,481),,치킨25의약품택배보조배터리대여현금 출금
170,GS25가재울현대점,서울,서대문구,"모래내로15길50,",1층,(남가좌동,197-5),,,,,,CAFE25치킨25의약품택배현금 출금undefined
171,GS25가좌행복점,서울,마포구,"성암로28,",110호,(성산동,"134-2,",가좌역행복주택),,,,,CAFE25의약품택배현금 출금
172,GS25가주초교점,서울,송파구,"오금로40길44,",1층,(가락동,154-19),,,,,,CAFE25베이커리치킨25의약품택배현금 출금
173,GS25갈현대로점,서울,은평구,"갈현로124,",1층(구산동,24-69),,,,,,,CAFE25의약품택배현금 출금
174,GS25갈현사랑점,서울,은평구,"연서로17길46-1,",1층,우측상가,(갈현동,497-13),,,,,CAFE25치킨25의약품택배현금 출금undefined
175,GS25갈현제일점,서울,은평구,"갈현로265,",1층(갈현1동,433-3),,,,,,,CAFE25치킨25의약품택배현금 출금
176,GS25갈현중앙점,서울,은평구,"통일로89길5,",1층,(갈현1동,413-1),,,,,,CAFE25베이커리의약품택배보조배터리대여현금 출금undefined
177,GS25갈현파크점,서울,은평구,"갈현로25길14,",1층,101호,(갈현동,515-18),,,,,CAFE25치킨25의약품택배
178,GS25갈현포인트점,서울,은평구,갈현로303,(갈현1동,"422-35,",제일은행갈현시장),,,,,,CAFE25치킨25의약품택배보조배터리대여현금 출금
179,GS25갈현행복점,서울,은평구,갈현로37길3(갈현1동,434-22),,,,,,,,의약품택배현금 출금
180,GS25갈현행운점,서울,은평구,"연서로19길8,",1층,(갈현동,463-4),,,,,,CAFE25치킨25의약품택배현금 출금undefinedundefined
181,GS25강남LH점,서울,강남구,"자곡로3길22,",LH강남3단지,상가동,1층,101호,(자곡동,621),,,의약품택배
182,GS25강남N타워점,서울,강남구,"테헤란로129,",강남N타워,GF층,7호,(역삼동,648-17),,,,CAFE25의약품택배
183,GS25강남YBM점,서울,강남구,강남대로94길9,(역삼동,818-14),,,,,,,로또판매CAFE25치킨25의약품택배
184,GS25강남개포점,서울,강남구,"개포로15길10,",1층,(개포동,1244-14),,,,,,CAFE25치킨25의약품택배현금 출금
185,GS25강남갤러리점,서울,강남구,"논현로106길42,",1층,(역삼동,656-3),,,,,,CAFE25치킨25의약품택배현금 출금
186,GS25강남나누리점,서울,강남구,"언주로147길10,",1층,(논현동,63-19),,,,,,로또판매CAFE25치킨25의약품택배현금 출금undefinedundefined
187,GS25강남대치점,서울,강남구,"선릉로420,",1층,7호,(대치동,897-3),,,,,의약품택배현금 출금
188,GS25강남동원점,서울,강남구,테헤란로77길7(삼성2동,"143-28,",동원빌딩),,,,,,,CAFE25베이커리치킨25의약품택배보조배터리대여현금 입/출금TAX REFUNDundefined
189,GS25강남드림하이점,서울,강남구,"헌릉로569길21-30,",104호,(세곡동,"615,",드림하이오피스텔),,,,,CAFE25베이커리치킨25의약품택배
190,GS25강남로데오점,서울,강남구,"압구정로54길16,",1층,(신사동,662-18),,,,,,CAFE25치킨25의약품택배현금 출금undefined
191,GS25강남리츠칼튼점,서울,강남구,강남대로110길26,(역삼동,811-4),,,,,,,CAFE25치킨25의약품택배현금 출금
192,GS25강남메트로점,서울,강남구,"테헤란로101,",A동,10호(역삼1동,"821-1,",대우쇼핑타운),,,,,
193,GS25강남본점,서울,강남구,"테헤란로2길8,",1층,(역삼동,825-1),,,,,,CAFE25의약품택배현금 출금
194,GS25강남사랑점,서울,강남구,역삼로15길20,(역삼동,749-5),,,,,,,의약품택배
195,GS25강남상록회관점,서울,강남구,언주로98길25,(역삼동,699-27),,,,,,,CAFE25의약품택배undefined
196,GS25강남성심병원점,서울,영등포구,"신길로1,",1층,일부,(대림1동,"948-1,",강남성심병원),,,,의약품택배보조배터리대여
197,GS25강남세곡점,서울,강남구,"밤고개로21길25,",104호,(자곡동,"361,",래미안포레),,,,,CAFE25의약품보조배터리대여현금 출금undefined
198,GS25강남센타점,서울,서초구,강남대로465(서초4동,1303-22),,,,,,,,CAFE25택배보조배터리대여
199,GS25강남쉐르빌점,서울,강남구,"강남대로328,",111호,(역삼1동,"832-3,",강남역쉐르빌오피스텔),,,,,의약품보조배터리대여현금 출금
200,GS25강남시티힐점,서울,강남구,"강남대로98길17,",지하1층,(역삼동,"620-9,",시티힐빌딩),,,,,CAFE25베이커리치킨25의약품택배현금 출금undefined
201,GS25강남신사점,서울,강남구,언주로173길13,(신사동,619-3),,,,,,,CAFE25의약품택배현금 출금
202,GS25강남쌍용점,서울,강남구,"테헤란로4길46,",109호(역삼1동,"826-37,",쌍용플래티넘),,,,,,CAFE25치킨25의약품택배보조배터리대여현금 입/출금현금 출금
203,GS25강남아트점,서울,강남구,"강남대로102길40,",1층,(역삼동,618-3),,,,,,CAFE25베이커리치킨25의약품택배현금 출금undefined
204,GS25강남에이스타워점,서울,강남구,"자곡로174-10,",1동,"107호,",108호,(자곡동,"649,",강남에이스타워G9),,,CAFE25택배
205,GS25강남엘지점,서울,강남구,봉은사로114길46,(삼성1동,166-7),,,,,,,CAFE25치킨25의약품택배현금 출금undefinedundefined
206,GS25강남역삼점,서울,강남구,"봉은사로48길32,",지하1층,2호,(역삼동,690-29),,,,,CAFE25치킨25의약품택배현금 출금
207,GS25강남영동점,서울,강남구,논현로149길50(논현1동,5-19),,,,,,,,CAFE25의약품택배보조배터리대여현금 출금
208,GS25강남유블레스점,서울,강남구,"자곡로180,",111-2호,(자곡동,"651,",강남유탑유블레스오피스텔),,,,,CAFE25의약품택배undefined
209,GS25강남은성점,서울,강남구,"삼성로550,",1층(삼성1동,"150-19,",은성빌딩),,,,,,스포츠 토토CAFE25치킨25의약품택배보조배터리대여현금 출금
210,GS25강남쥬비스점,서울,강남구,"삼성로434,",1층,(대치동,"942-4,",쥬비스타워),,,,,CAFE25의약품택배현금 출금
211,GS25강남타운점,서울,강남구,"테헤란로115,",1층(역삼1동,"649-10,",서림빌딩),,,,,,CAFE25의약품택배보조배터리대여현금 입/출금현금 출금undefined
212,GS25강남태강점,서울,강남구,"테헤란로10길14,",1층(역삼1동,"823-8,",태강빌딩),,,,,,스포츠 토토CAFE25의약품택배보조배터리대여현금 입/출금현금 출금
213,GS25강남태양점,서울,강남구,"봉은사로4길29,",1층,(역삼1동,812),,,,,,CAFE25의약품택배보조배터리대여현금 출금
214,GS25강남푸르지오점,서울,강남구,"자곡동7-1,2BL",B06호,,,,,,,,의약품택배보조배터리대여현금 출금
215,GS25강남프리미엄점,서울,서초구,"서초대로77길13,",1층,(서초동,1317-7),,,,,,CAFE25치킨25의약품현금 출금undefinedundefined
216,GS25강남한티점,서울,강남구,선릉로62길9,(대치동,936-25),,,,,,,CAFE25치킨25의약품택배현금 출금undefined
217,GS25강동KTNG점,서울,강동구,"양재대로1544,",1층(길동,335-5),,,,,,,CAFE25택배보조배터리대여현금 출금
218,GS25강동강변점,서울,강동구,"구천면로155,",1층,(천호동,339-45),,,,,,CAFE25의약품택배
219,GS25강동개나리점,서울,강동구,구천면로323,(암사동,488-30),,,,,,,CAFE25의약품택배
220,GS25강동둔촌점,서울,강동구,풍성로65길71,(둔촌동,461),,,,,,,CAFE25치킨25의약품택배현금 출금undefined
221,GS25강동래미안점,서울,강동구,"천호대로163길21,",1층,(천호동,450-40),,,,,,CAFE25치킨25의약품택배현금 출금
222,GS25강동명일역점,서울,강동구,양재대로1637,(명일동,312-58),,,,,,,CAFE25의약품택배
223,GS25강동베르네점,서울,강동구,"성내로6길20,",108호,(성내1동,"556-2,",청일,베르네),,,,CAFE25의약품택배보조배터리대여현금 출금
