"","social_health.date","social_health.blog","social_health.twitter","social_health.news","social_health.total"
"90","2016-03-30",5425,3876,785,10086
"91","2016-03-31",5127,3462,735,9324
"92","2016-04-01",4691,3566,522,8779
"93","2016-04-02",2829,3453,384,6666
"94","2016-04-03",2463,3618,425,6506
"95","2016-04-04",5096,4244,693,10033
"96","2016-04-05",4928,3971,685,9584
"97","2016-04-06",5026,4072,662,9760
"98","2016-04-07",4933,3950,681,9564
"99","2016-04-08",4842,3747,537,9126
"100","2016-04-09",2680,3908,167,6755
"101","2016-04-10",2655,4444,251,7350
"102","2016-04-11",5143,4783,653,10579
"103","2016-04-12",4908,4255,610,9773
"104","2016-04-13",3516,3847,259,7622
"105","2016-04-14",5144,5219,515,10878
"106","2016-04-15",4768,3778,568,9114
"107","2016-04-16",2610,3471,132,6213
"108","2016-04-17",2424,3459,242,6125
"109","2016-04-18",5197,4172,643,10012
"110","2016-04-19",5249,3973,786,10008
"111","2016-04-20",5410,4081,839,10330
"112","2016-04-21",5140,3918,709,9767
"113","2016-04-22",4897,3708,557,9162
"114","2016-04-23",3075,3671,230,6976
"115","2016-04-24",2800,3940,326,7066
"116","2016-04-25",5630,4678,750,11058
"117","2016-04-26",5503,4346,782,10631
"118","2016-04-27",5552,4025,774,10351
"119","2016-04-28",5267,4364,726,10357
"120","2016-04-29",4846,3783,549,9178
"121","2016-04-30",2831,3162,181,6174
"122","2016-05-01",2523,3392,301,6216
"123","2016-05-02",5191,4070,741,10002
"124","2016-05-03",5361,4097,618,10076
"125","2016-05-04",4913,4102,662,9677
"126","2016-05-05",2682,3497,319,6498
"127","2016-05-06",3579,3943,320,7842
"128","2016-05-07",2642,3684,257,6583
"129","2016-05-08",2521,6883,301,9705
"130","2016-05-09",4995,6625,747,12367
"131","2016-05-10",5058,4240,708,10006
"132","2016-05-11",5185,6094,776,12055
"133","2016-05-12",5093,4610,683,10386
"134","2016-05-13",4815,4588,539,9942
"135","2016-05-14",2646,3232,139,6017
"136","2016-05-15",2623,4261,248,7132
"137","2016-05-16",5030,4144,801,9975
"138","2016-05-17",5145,4893,747,10785
"139","2016-05-18",5199,3781,894,9874
"140","2016-05-19",5228,4189,860,10277
"141","2016-05-20",5217,4064,639,9920
"142","2016-05-21",2848,3966,226,7040
"143","2016-05-22",2550,3735,355,6640
"144","2016-05-23",5216,5143,715,11074
"145","2016-05-24",5250,4578,700,10528
"146","2016-05-25",5130,4267,777,10174
"147","2016-05-26",5055,4227,667,9949
"148","2016-05-27",4940,4121,565,9626
"149","2016-05-28",2545,3693,160,6398
"150","2016-05-29",2333,3951,305,6589
"151","2016-05-30",5218,4519,860,10597
"152","2016-05-31",5210,4211,750,10171
"153","2016-06-01",4885,4419,775,10079
"154","2016-06-02",4923,3913,672,9508
"155","2016-06-03",4643,3958,555,9156
"156","2016-06-04",2315,3581,166,6062
"157","2016-06-05",2157,3364,195,5716
"158","2016-06-06",2561,3851,246,6658
"159","2016-06-07",4768,4796,634,10198
"160","2016-06-08",5241,4324,620,10185
"161","2016-06-09",5223,4197,618,10038
"162","2016-06-10",4907,2525,519,7951
"163","2016-06-11",2630,2930,192,5752
"164","2016-06-12",2540,4363,251,7154
"165","2016-06-13",4985,4680,542,10207
"166","2016-06-14",4918,4245,631,9794
"167","2016-06-15",4933,4833,652,10418
"168","2016-06-16",4898,4765,613,10276
"169","2016-06-17",4789,4709,604,10102
"170","2016-06-18",2866,3749,206,6821
"171","2016-06-19",2449,3861,297,6607
"172","2016-06-20",5144,4325,725,10194
"173","2016-06-21",5221,4448,574,10243
"174","2016-06-22",5251,4053,591,9895
"175","2016-06-23",5155,4248,673,10076
"176","2016-06-24",5071,3879,547,9497
"177","2016-06-25",2440,3675,142,6257
"178","2016-06-26",2540,3706,248,6494
"179","2016-06-27",5293,4027,654,9974
"180","2016-06-28",5465,4046,878,10389
"181","2016-06-29",5480,4228,814,10522
"182","2016-06-30",5199,4602,727,10528
"183","2016-07-01",5014,3934,562,9510
"184","2016-07-02",2586,3341,141,6068
"185","2016-07-03",2636,3789,246,6671
"186","2016-07-04",5230,4215,578,10023
"187","2016-07-05",5198,4210,653,10061
"188","2016-07-06",5110,4092,712,9914
"189","2016-07-07",4955,4365,804,10124
"190","2016-07-08",5235,4134,736,10105
"191","2016-07-09",2828,3964,201,6993
"192","2016-07-10",2660,4403,300,7363
"193","2016-07-11",5572,5213,671,11456
"194","2016-07-12",5207,4583,648,10438
"195","2016-07-13",5297,4034,720,10051
"196","2016-07-14",4993,4155,620,9768
"197","2016-07-15",4844,4200,485,9529
"198","2016-07-16",2731,3726,145,6602
"199","2016-07-17",2570,4834,308,7712
"200","2016-07-18",5073,4316,754,10143
"201","2016-07-19",5199,4265,726,10190
"202","2016-07-20",5497,4433,726,10656
"203","2016-07-21",5489,4616,709,10814
"204","2016-07-22",5265,4648,554,10467
"205","2016-07-23",2933,5539,139,8611
"206","2016-07-24",2768,7072,318,10158
"207","2016-07-25",5721,4848,665,11234
"208","2016-07-26",5667,4638,732,11037
"209","2016-07-27",5456,4615,720,10791
"210","2016-07-28",5347,4792,753,10892
"211","2016-07-29",4827,4629,552,10008
"212","2016-07-30",2907,4146,210,7263
"213","2016-07-31",2691,3447,277,6415
"214","2016-08-01",4811,4605,584,10000
"215","2016-08-02",4760,4470,573,9803
"216","2016-08-03",5101,5452,633,11186
"217","2016-08-04",5365,5218,651,11234
"218","2016-08-05",5388,4675,587,10650
"219","2016-08-06",2957,4221,231,7409
"220","2016-08-07",2559,4173,308,7040
"221","2016-08-08",5432,5032,679,11143
"222","2016-08-09",5266,4810,573,10649
"223","2016-08-10",5618,4673,718,11009
"224","2016-08-11",5186,4898,607,10691
"225","2016-08-12",4864,4792,524,10180
"226","2016-08-13",2743,4254,207,7204
"227","2016-08-14",2263,3755,249,6267
"228","2016-08-15",2855,4554,241,7650
"229","2016-08-16",5137,4567,628,10332
"230","2016-08-17",5245,4870,629,10744
"231","2016-08-18",4860,4173,589,9622
"232","2016-08-19",4807,3972,535,9314
"233","2016-08-20",2528,3819,174,6521
"234","2016-08-21",2322,6502,268,9092
"235","2016-08-22",5185,5018,630,10833
"236","2016-08-23",4999,4159,607,9765
"237","2016-08-24",5072,4335,689,10096
"238","2016-08-25",4929,4349,698,9976
"239","2016-08-26",4643,4538,475,9656
"240","2016-08-27",2452,3874,151,6477
"241","2016-08-28",2447,3876,255,6578
"242","2016-08-29",5150,5099,733,10982
"243","2016-08-30",5089,4576,753,10418
"244","2016-08-31",5143,4556,854,10553
"245","2016-09-01",5034,4718,367,10119
"246","2016-09-02",4481,8590,442,13513
"247","2016-09-03",2505,4037,138,6680
"248","2016-09-04",2312,4364,279,6955
"249","2016-09-05",4988,4682,756,10426
"250","2016-09-06",4645,4397,803,9845
"251","2016-09-07",4902,4548,825,10275
"252","2016-09-08",4645,4285,785,9715
"253","2016-09-09",4442,4065,588,9095
"254","2016-09-10",2358,3353,171,5882
"255","2016-09-11",2286,3855,263,6404
"256","2016-09-12",4390,4511,692,9593
"257","2016-09-13",3884,4283,559,8726
"258","2016-09-14",1990,4143,242,6375
"259","2016-09-15",1505,3976,160,5641
"260","2016-09-16",1760,3765,170,5695
"261","2016-09-17",2132,3944,138,6214
"262","2016-09-18",2348,3990,270,6608
"263","2016-09-19",4575,4520,631,9726
"264","2016-09-20",4725,4502,717,9944
"265","2016-09-21",4906,4331,847,10084
"266","2016-09-22",4780,4439,729,9948
"267","2016-09-23",4370,4290,465,9125
"268","2016-09-24",2386,3728,238,6352
"269","2016-09-25",2253,3836,298,6387
"270","2016-09-26",4840,4459,751,10050
"271","2016-09-27",4937,4472,745,10154
"272","2016-09-28",4996,4691,692,10379
"273","2016-09-29",4909,4405,679,9993
"274","2016-09-30",4613,4693,566,9872
"275","2016-10-01",2490,4180,198,6868
"276","2016-10-02",2190,4207,357,6754
"277","2016-10-03",2643,4048,374,7065
"278","2016-10-04",4599,4606,716,9921
"279","2016-10-05",4642,4897,739,10278
"280","2016-10-06",4616,4324,626,9566
"281","2016-10-07",4578,4199,457,9234
"282","2016-10-08",2438,3623,133,6194
"283","2016-10-09",2325,3900,347,6572
"284","2016-10-10",5274,4679,751,10704
"285","2016-10-11",5075,7204,809,13088
"286","2016-10-12",4981,4829,748,10558
"287","2016-10-13",4841,4996,575,10412
"288","2016-10-14",4553,4548,474,9575
"289","2016-10-15",2430,3591,152,6173
"290","2016-10-16",2510,3739,260,6509
"291","2016-10-17",4824,4781,624,10229
"292","2016-10-18",4679,4319,657,9655
"293","2016-10-19",4775,4605,631,10011
"294","2016-10-20",4668,4340,589,9597
"295","2016-10-21",4333,4479,416,9228
"296","2016-10-22",2271,3599,135,6005
"297","2016-10-23",2328,4079,258,6665
"298","2016-10-24",4771,4711,577,10059
"299","2016-10-25",4877,4469,817,10163
"300","2016-10-26",4654,4653,702,10009
"301","2016-10-27",4621,4524,557,9702
"302","2016-10-28",4622,4201,520,9343
"303","2016-10-29",2396,3910,160,6466
"304","2016-10-30",2379,4301,409,7089
"305","2016-10-31",4947,4815,568,10330
"306","2016-11-01",4892,4624,679,10195
"307","2016-11-02",4993,4460,614,10067
"308","2016-11-03",4761,4300,616,9677
"309","2016-11-04",4387,4302,395,9084
"310","2016-11-05",2176,3773,149,6098
"311","2016-11-06",2103,3929,289,6321
"312","2016-11-07",4814,4615,568,9997
"313","2016-11-08",4860,4233,560,9653
"314","2016-11-09",4784,3539,556,8879
"315","2016-11-10",4478,4248,461,9187
"316","2016-11-11",4185,3873,430,8488
"317","2016-11-12",2151,3386,156,5693
"318","2016-11-13",2059,3297,210,5566
"319","2016-11-14",4710,4618,580,9908
"320","2016-11-15",4659,4227,502,9388
"321","2016-11-16",4655,6266,507,11428
"322","2016-11-17",4206,4026,594,8826
"323","2016-11-18",4394,4299,469,9162
"324","2016-11-19",2307,3450,141,5898
"325","2016-11-20",2080,3695,189,5964
"326","2016-11-21",4741,4385,589,9715
"327","2016-11-22",4910,4842,639,10391
"328","2016-11-23",5005,4472,637,10114
"329","2016-11-24",4997,4184,592,9773
"330","2016-11-25",4268,4023,516,8807
"331","2016-11-26",2315,3709,158,6182
"332","2016-11-27",2161,4097,220,6478
"333","2016-11-28",4777,4421,632,9830
"334","2016-11-29",4679,4221,583,9483
"335","2016-11-30",4550,4480,655,9685
"336","2016-12-01",4518,4794,623,9935
"337","2016-12-02",4228,4145,546,8919
"338","2016-12-03",2230,3631,125,5986
"339","2016-12-04",2034,3931,260,6225
"340","2016-12-05",4625,5478,510,10613
"341","2016-12-06",4605,5174,650,10429
"342","2016-12-07",4644,5109,638,10391
"343","2016-12-08",4520,5096,623,10239
"344","2016-12-09",4374,4358,442,9174
"345","2016-12-10",2270,4106,122,6498
"346","2016-12-11",1986,4323,210,6519
"347","2016-12-12",4638,5266,464,10368
"348","2016-12-13",4575,4885,543,10003
"349","2016-12-14",4673,4986,549,10208
"350","2016-12-15",4833,4722,540,10095
"351","2016-12-16",4444,4966,452,9862
"352","2016-12-17",2331,4178,153,6662
"353","2016-12-18",2242,4183,207,6632
"354","2016-12-19",4529,4860,580,9969
"355","2016-12-20",4591,4683,709,9983
"356","2016-12-21",4801,4508,685,9994
"357","2016-12-22",4674,6439,582,11695
"358","2016-12-23",4361,5059,469,9889
"359","2016-12-24",2094,4072,137,6303
"360","2016-12-25",1822,4184,237,6243
"361","2016-12-26",4557,4789,638,9984
"362","2016-12-27",4650,4702,637,9989
"363","2016-12-28",4802,5104,594,10500
"364","2016-12-29",4841,4955,716,10512
"365","2016-12-30",4381,5771,615,10767
"366","2016-12-31",3042,6292,200,9534
"367","2017-01-01",3354,8878,453,12685
"368","2017-01-02",5290,5523,52,10865
"369","2017-01-03",5143,4838,744,10725
"370","2017-01-04",5052,4895,673,10620
"371","2017-01-05",4768,4887,688,10343
"372","2017-01-06",4426,4713,427,9566
"373","2017-01-07",2566,4041,159,6766
"374","2017-01-08",2319,4027,218,6564
"375","2017-01-09",5108,4993,664,10765
"376","2017-01-10",4852,5277,558,10687
"377","2017-01-11",5014,5100,632,10746
"378","2017-01-12",4950,4801,586,10337
"379","2017-01-13",4945,4738,581,10264
"380","2017-01-14",2630,4401,240,7271
"381","2017-01-15",2369,4485,281,7135
"382","2017-01-16",5007,6248,619,11874
"383","2017-01-17",4793,6553,632,11978
"384","2017-01-18",4849,5317,611,10777
"385","2017-01-19",4864,4741,599,10204
"386","2017-01-20",4666,4884,437,9987
"387","2017-01-21",2474,4120,203,6797
"388","2017-01-22",2299,4459,261,7019
"389","2017-01-23",4999,5419,880,11298
"390","2017-01-24",4821,5040,896,10757
"391","2017-01-25",4263,4831,798,9892
"392","2017-01-26",3397,4770,473,8640
"393","2017-01-27",1818,4607,222,6647
"394","2017-01-28",1464,4711,208,6383
"395","2017-01-29",1605,3503,175,5283
"396","2017-01-30",2334,4299,301,6934
"397","2017-01-31",4396,4837,614,9847
"398","2017-02-01",4680,4928,825,10433
"399","2017-02-02",4507,5080,643,10230
"400","2017-02-03",4324,4836,469,9629
"401","2017-02-04",2359,6521,157,9037
"402","2017-02-05",2205,4131,248,6584
"403","2017-02-06",4582,4760,608,9950
"404","2017-02-07",4543,4771,587,9901
"405","2017-02-08",4771,3981,732,9484
"406","2017-02-09",4868,4305,646,9819
"407","2017-02-10",4654,5028,528,10210
"408","2017-02-11",2527,4347,201,7075
"409","2017-02-12",2159,4187,252,6598
"410","2017-02-13",4463,4701,547,9711
"411","2017-02-14",4343,4723,684,9750
"412","2017-02-15",4678,4462,631,9771
"413","2017-02-16",4345,4761,540,9646
"414","2017-02-17",4216,5170,509,9895
"415","2017-02-18",2315,4678,168,7161
"416","2017-02-19",2112,4163,239,6514
"417","2017-02-20",4739,5076,661,10476
"418","2017-02-21",4462,4914,668,10044
"419","2017-02-22",4545,5345,690,10580
"420","2017-02-23",4446,5317,676,10439
"421","2017-02-24",4229,4773,488,9490
"422","2017-02-25",2114,4170,173,6457
"423","2017-02-26",2140,5021,291,7452
"424","2017-02-27",4432,9134,690,14256
"425","2017-02-28",4141,5395,775,10311
"426","2017-03-01",2550,4785,394,7729
"427","2017-03-02",4369,4784,884,10037
"428","2017-03-03",4098,4481,583,9162
"429","2017-03-04",2181,4303,207,6691
"430","2017-03-05",2056,4142,272,6470
"431","2017-03-06",4726,4803,729,10258
"432","2017-03-07",4725,4531,723,9979
"433","2017-03-08",4705,4566,795,10066
"434","2017-03-09",4590,5119,775,10484
"435","2017-03-10",3821,2864,455,7140
"436","2017-03-11",2149,3927,151,6227
"437","2017-03-12",2204,4187,247,6638
"438","2017-03-13",4379,5123,613,10115
"439","2017-03-14",4424,4938,717,10079
"440","2017-03-15",4497,4604,784,9885
"441","2017-03-16",4281,4595,807,9683
"442","2017-03-17",4083,4452,559,9094
"443","2017-03-18",2205,3817,182,6204
"444","2017-03-19",2136,4087,369,6592
"445","2017-03-20",4584,4796,787,10167
"446","2017-03-21",4681,4827,745,10253
"447","2017-03-22",4612,6232,807,11651
"448","2017-03-23",4553,5058,714,10325
"449","2017-03-24",4136,4407,726,9269
"450","2017-03-25",2146,4098,229,6473
"451","2017-03-26",2069,4431,278,6778
"452","2017-03-27",4682,5199,881,10762
"453","2017-03-28",4618,4489,771,9878
"454","2017-03-29",4661,4660,746,10067
"455","2017-03-30",4389,4324,749,9462
"456","2017-03-31",4302,4249,534,9085
"457","2017-04-01",2153,4113,135,6401
"458","2017-04-02",2045,4110,304,6459
"459","2017-04-03",4410,5110,813,10333
"460","2017-04-04",4383,4857,817,10057
"461","2017-04-05",4482,4657,732,9871
"462","2017-04-06",4575,4814,664,10053
"463","2017-04-07",4133,5229,481,9843
"464","2017-04-08",2268,4220,159,6647
"465","2017-04-09",2103,4046,294,6443
"466","2017-04-10",4372,4760,681,9813
"467","2017-04-11",4600,4599,682,9881
"468","2017-04-12",4658,4707,738,10103
"469","2017-04-13",4553,4841,679,10073
"470","2017-04-14",4458,4731,549,9738
"471","2017-04-15",2359,4573,220,7152
"472","2017-04-16",2255,4120,293,6668
"473","2017-04-17",4749,5171,676,10596
"474","2017-04-18",4959,5168,746,10873
"475","2017-04-19",4689,5178,749,10616
"476","2017-04-20",4556,4813,853,10222
"477","2017-04-21",4403,4850,699,9952
"478","2017-04-22",2209,3999,170,6378
"479","2017-04-23",2160,3738,385,6283
"480","2017-04-24",4814,5332,713,10859
"481","2017-04-25",4726,5026,708,10460
"482","2017-04-26",4654,4531,824,10009
"483","2017-04-27",4580,4753,912,10245
"484","2017-04-28",4417,4661,662,9740
"485","2017-04-29",2361,4048,163,6572
"486","2017-04-30",2163,4406,296,6865
"487","2017-05-01",3584,4817,586,8987
"488","2017-05-02",4219,4868,608,9695
"489","2017-05-03",2685,4374,293,7352
"490","2017-05-04",3771,4555,573,8899
"491","2017-05-05",2204,4639,334,7177
"492","2017-05-06",2337,5061,247,7645
"493","2017-05-07",2256,4575,396,7227
"494","2017-05-08",4880,5112,714,10706
"495","2017-05-09",3301,3658,296,7255
"496","2017-05-10",4441,4320,582,9343
"497","2017-05-11",4449,4466,550,9465
"498","2017-05-12",4346,4739,565,9650
"499","2017-05-13",2362,3928,155,6445
"500","2017-05-14",2096,4186,253,6535
"501","2017-05-15",4692,4792,601,10085
"502","2017-05-16",4852,4915,694,10461
"503","2017-05-17",4728,4745,753,10226
"504","2017-05-18",4517,4651,686,9854
"505","2017-05-19",4384,5113,593,10090
"506","2017-05-20",2584,4128,203,6915
"507","2017-05-21",2373,3996,314,6683
"508","2017-05-22",5041,4457,692,10190
"509","2017-05-23",4897,4522,696,10115
"510","2017-05-24",4604,5296,745,10645
"511","2017-05-25",4596,5208,664,10468
"512","2017-05-26",4143,4020,528,8691
"513","2017-05-27",2106,3468,243,5817
"514","2017-05-28",1976,4025,333,6334
"515","2017-05-29",4848,4763,753,10364
"516","2017-05-30",4899,5341,901,11141
"517","2017-05-31",4743,4720,786,10249
"518","2017-06-01",4611,4508,790,9909
"519","2017-06-02",4287,4489,630,9406
"520","2017-06-03",2338,3861,212,6411
"521","2017-06-04",2093,3952,298,6343
"522","2017-06-05",4163,4791,786,9740
"523","2017-06-06",2440,4024,347,6811
"524","2017-06-07",4487,4665,818,9970
"525","2017-06-08",4376,4530,801,9707
"526","2017-06-09",4387,4757,539,9683
"527","2017-06-10",2246,3954,137,6337
"528","2017-06-11",2132,3951,266,6349
"529","2017-06-12",4541,4900,659,10100
"530","2017-06-13",4615,4927,694,10236
"531","2017-06-14",4571,4577,667,9815
"532","2017-06-15",4568,4492,753,9813
"533","2017-06-16",4464,4832,635,9931
"534","2017-06-17",2376,3389,240,6005
"535","2017-06-18",2192,3791,291,6274
"536","2017-06-19",5066,4621,730,10417
"537","2017-06-20",4919,4686,807,10412
"538","2017-06-21",5041,4594,1048,10683
"539","2017-06-22",5041,4159,777,9977
"540","2017-06-23",4663,4270,659,9592
"541","2017-06-24",2243,3746,173,6162
"542","2017-06-25",2127,3989,219,6335
"543","2017-06-26",4447,4481,622,9550
"544","2017-06-27",4568,4186,757,9511
"545","2017-06-28",4738,4427,867,10032
"546","2017-06-29",4756,4321,779,9856
"547","2017-06-30",4691,4583,565,9839
"548","2017-07-01",2502,3615,168,6285
"549","2017-07-02",2235,3448,227,5910
"550","2017-07-03",4542,4067,668,9277
"551","2017-07-04",4722,3960,643,9325
"552","2017-07-05",5011,4667,655,10333
"553","2017-07-06",4767,4475,661,9903
"554","2017-07-07",4412,4345,471,9228
"555","2017-07-08",2274,3775,148,6197
"556","2017-07-09",2115,3697,255,6067
"557","2017-07-10",4807,4324,639,9770
"558","2017-07-11",4926,4769,759,10454
"559","2017-07-12",5353,4747,873,10973
"560","2017-07-13",4995,4594,697,10286
"561","2017-07-14",4808,4591,665,10064
"562","2017-07-15",2324,3660,212,6196
"563","2017-07-16",2087,3879,307,6273
"564","2017-07-17",4750,4672,640,10062
"565","2017-07-18",4799,4326,813,9938
"566","2017-07-19",5105,4730,913,10748
"567","2017-07-20",5193,4653,821,10667
"568","2017-07-21",4969,4863,608,10440
"569","2017-07-22",2517,4348,194,7059
"570","2017-07-23",2261,4240,239,6740
"571","2017-07-24",4873,4748,781,10402
"572","2017-07-25",4985,4808,780,10573
"573","2017-07-26",4914,5122,988,11024
"574","2017-07-27",4712,5030,837,10579
"575","2017-07-28",4400,4616,594,9610
"576","2017-07-29",2196,4340,185,6721
"577","2017-07-30",2035,4057,286,6378
"578","2017-07-31",4255,4777,636,9668
"579","2017-08-01",4338,4942,681,9961
"580","2017-08-02",4515,4958,632,10105
"581","2017-08-03",4465,4665,727,9857
"582","2017-08-04",4415,4781,522,9718
"583","2017-08-05",2323,4409,170,6902
"584","2017-08-06",2118,4299,268,6685
"585","2017-08-07",4818,5041,688,10547
"586","2017-08-08",4651,5073,782,10506
"587","2017-08-09",4513,7996,1039,13548
"588","2017-08-10",4420,4623,1024,10067
"589","2017-08-11",4442,4245,649,9336
"590","2017-08-12",2096,3832,221,6149
"591","2017-08-13",1866,3831,254,5951
"592","2017-08-14",3912,4298,657,8867
"593","2017-08-15",2477,3821,306,6604
"594","2017-08-16",4499,4146,714,9359
"595","2017-08-17",4446,4490,811,9747
"596","2017-08-18",4173,4472,585,9230
"597","2017-08-19",2249,4633,215,7097
"598","2017-08-20",2178,4071,309,6558
"599","2017-08-21",4518,4868,859,10245
"600","2017-08-22",4542,4774,826,10142
"601","2017-08-23",4589,4460,738,9787
"602","2017-08-24",4513,4199,759,9471
"603","2017-08-25",4000,4223,512,8735
"604","2017-08-26",2121,4364,146,6631
"605","2017-08-27",2049,4664,271,6984
"606","2017-08-28",4348,4883,715,9946
"607","2017-08-29",4625,4659,788,10072
"608","2017-08-30",4733,5023,833,10589
"609","2017-08-31",4775,4622,799,10196
"610","2017-09-01",4337,4561,564,9462
"611","2017-09-02",1794,4150,192,6136
"612","2017-09-03",1782,4095,292,6169
"613","2017-09-04",4655,4812,814,10281
"614","2017-09-05",4586,4593,706,9885
"615","2017-09-06",4649,4359,687,9695
"616","2017-09-07",4628,3936,766,9330
"617","2017-09-08",4412,4144,611,9167
"618","2017-09-09",2105,3963,223,6291
"619","2017-09-10",1950,4189,268,6407
"620","2017-09-11",4550,4642,677,9869
"621","2017-09-12",4649,4303,670,9622
"622","2017-09-13",4690,4457,664,9811
"623","2017-09-14",4507,4568,669,9744
"624","2017-09-15",4342,4630,581,9553
"625","2017-09-16",2246,3665,176,6087
"626","2017-09-17",2017,4091,277,6385
"627","2017-09-18",4684,4791,846,10321
"628","2017-09-19",4578,5177,716,10471
"629","2017-09-20",4687,4929,876,10492
"630","2017-09-21",4598,5074,795,10467
"631","2017-09-22",4335,7299,637,12271
"632","2017-09-23",2196,3984,214,6394
"633","2017-09-24",2045,4524,325,6894
"634","2017-09-25",4491,4839,848,10178
"635","2017-09-26",4378,4672,834,9884
"636","2017-09-27",4384,4461,822,9667
"637","2017-09-28",4063,4337,900,9300
"638","2017-09-29",3896,4335,619,8850
"639","2017-09-30",2118,4597,214,6929
"640","2017-10-01",1797,4252,205,6254
"641","2017-10-02",2582,4213,284,7079
"642","2017-10-03",1764,4003,223,5990
"643","2017-10-04",1364,3879,163,5406
"644","2017-10-05",1652,3634,194,5480
"645","2017-10-06",2028,4064,216,6308
"646","2017-10-07",1855,3896,235,5986
"647","2017-10-08",1771,4049,279,6099
"648","2017-10-09",2482,3877,393,6752
"649","2017-10-10",4169,4592,842,9603
"650","2017-10-11",4429,6793,731,11953
"651","2017-10-12",4552,6553,737,11842
"652","2017-10-13",4335,5102,659,10096
"653","2017-10-14",2251,3781,215,6247
"654","2017-10-15",2039,3755,320,6114
"655","2017-10-16",4488,4311,794,9593
"656","2017-10-17",4704,4321,710,9735
"657","2017-10-18",4461,4511,777,9749
"658","2017-10-19",4456,4398,607,9461
"659","2017-10-20",3816,4465,589,8870
"660","2017-10-21",2021,4190,212,6423
"661","2017-10-22",2047,4388,294,6729
"662","2017-10-23",4833,4536,758,10127
"663","2017-10-24",4512,4421,888,9821
