date.gs,reg_02.gs,마스크,스타킹,스테디셀러,일회용품,"계절성(여름,겨울)",00~19,20~39,40~59,60~99,F,M,temp_max,wind_max,temp_min,temp_avg,wa_avg,rain_sum,temp_range,rain
2016-01-25,3분위수,35,98,10661,399,4330,462,11070,3515,476,9550,5973,-3.8,3.1,-15.2,-9.2,1.2,0,11.5,N
2016-01-25,4분위수,175,246,29982,1343,12922,1030,31938,10726,974,26140,18528,-3.4,3,-12.8,-8.1,1.5,0,9.4,N
2016-01-26,1분위수,56,21,9254,330,3887,315,9599,3487,175,7663,5913,2,4.1,-7.6,-2.6,1.4,0,9.6,N
2016-01-26,2분위수,49,70,13183,527,5976,631,14102,4743,336,12819,6993,2.1,3.3,-7.7,-2.6,1.4,0,9.8,N
2016-01-26,3분위수,28,112,12097,357,4775,504,12248,4189,484,10575,6850,1.9,3.1,-9,-3.2,1,0,10.9,N
2016-01-26,4분위수,70,393,30252,993,13404,946,33002,10632,672,27116,18136,2.4,3.4,-6.7,-2,1.5,0,9.1,N
2016-01-27,1분위수,21,112,9303,273,4197,441,9036,4128,301,7714,6192,3.8,4.1,-3.7,-0.2,1.6,0,7.5,N
2016-01-27,2분위수,56,175,12622,443,5770,539,13498,4672,357,11542,7524,4.1,3.3,-4,-0.4,1.3,0,8.1,N
2016-01-27,3분위수,56,77,12315,385,4979,462,11854,4738,758,10786,7026,3.6,3.2,-5.4,-0.9,1.2,0,9,N
2016-01-27,4분위수,126,385,31916,1159,14655,1261,34098,11976,913,27384,20864,4.1,3.4,-3.2,0,1.5,0,7.2,N
2016-01-28,1분위수,56,91,9489,329,4120,329,9511,4042,203,7877,6208,3.8,3.1,-5,0.1,1.2,0,8.8,N
2016-01-28,2분위수,42,245,13391,632,7384,518,13749,7049,378,14094,7600,3.7,3.4,-4.9,-0.1,1.4,0,8.6,N
2016-01-28,3분위수,63,196,11474,414,5583,560,13035,3862,273,10995,6735,3.8,2.4,-6.8,-0.7,0.8,0,10.6,N
2016-01-28,4분위수,77,421,29645,1293,13874,994,32868,10381,1067,27761,17549,3.9,2.8,-4.1,0.5,1.1,0,7.9,N
2016-01-29,1분위수,42,105,10165,428,5357,287,11766,3820,224,9390,6707,5.8,3.6,-0.6,2.6,1.8,0,6.4,N
2016-01-29,2분위수,21,203,13294,563,7369,567,15392,5078,420,13216,8241,5.8,3.9,-1,2.2,1.9,0,6.8,N
2016-01-29,3분위수,49,133,13403,336,6550,624,14411,4939,497,12505,7966,5.9,3,-2.1,1.7,1.2,0,8.1,N
2016-01-29,4분위수,154,589,33564,1315,18163,1150,39603,12037,995,31060,22725,6.1,2.9,-0.4,2.8,1.3,0,6.6,N
2016-01-30,1분위수,84,154,9017,281,5185,427,10236,3799,259,8324,6397,5.5,3.8,-1.9,1.4,1.4,0,7.4,N
2016-01-30,2분위수,21,196,15100,555,7528,785,17118,4971,526,14209,9191,5.4,3.5,-2.4,1,1.6,0,7.8,N
2016-01-30,3분위수,21,182,13829,287,7431,610,14799,5525,816,13436,8314,5.4,2.9,-3.5,0.5,1.1,0,9,N
2016-01-30,4분위수,77,626,36224,1369,19714,1304,42855,12904,947,35291,22719,5.2,3.3,-1.5,1.4,1.4,0,6.7,N
2016-01-31,1분위수,28,70,9449,238,4491,562,9476,3859,379,8099,6177,0.7,4.3,-5.2,-2.8,2.3,0,6,N
2016-01-31,2분위수,21,175,12722,399,7007,630,15022,4034,638,12721,7603,0.7,4,-5.7,-3.1,2,0,6.4,N
2016-01-31,3분위수,91,168,12369,315,5800,595,13230,4433,485,11479,7264,0.8,3.7,-6.5,-3.3,1.8,0,7.3,N
2016-01-31,4분위수,119,378,30640,745,15282,644,33953,11214,1353,26624,20540,1,3.7,-5.4,-2.9,2.1,0,6.4,N
2016-02-01,1분위수,35,63,7918,322,3429,364,8152,2957,294,6314,5453,-0.8,4.4,-7.9,-5,2,0,7,N
2016-02-01,2분위수,56,196,11298,484,4817,518,12234,3714,385,10489,6362,-0.7,3.7,-8.4,-5.3,2,0,7.7,N
2016-02-01,3분위수,176,126,10052,414,4206,686,10660,3271,357,8948,6026,-1,3.7,-9.6,-5.5,1.6,0,8.7,N
2016-02-01,4분위수,119,386,24765,1202,12034,798,28078,9007,623,21795,16711,-0.7,3.5,-8,-5.2,1.9,0,7.3,N
2016-02-02,1분위수,49,63,8911,224,3658,385,8853,3471,196,7321,5584,0.7,3.8,-8.6,-4.1,1.5,0,9.3,N
2016-02-02,2분위수,35,203,12261,415,4554,525,12579,4007,357,10850,6618,0.6,3.3,-9.3,-4.5,1.4,0,9.9,N
2016-02-02,3분위수,14,210,10313,308,4633,574,10938,3658,308,9560,5918,0.4,3.2,-10.7,-5.2,1.2,0,11.1,N
2016-02-02,4분위수,154,533,28168,984,13147,672,30787,10763,764,24551,18435,0.7,3.1,-8.3,-4,1.6,0,9,N
2016-02-03,1분위수,35,133,9240,329,3424,407,8816,3622,316,7521,5640,3.9,4,-7.3,-1.6,1.3,0,11.2,N
2016-02-03,2분위수,35,161,12228,506,6242,539,14112,4255,266,11923,7249,4.1,3.2,-7.5,-2,1.2,0,11.6,N
2016-02-03,3분위수,35,154,11705,301,5229,420,12326,4173,505,11068,6356,3.6,3.2,-9.4,-2.9,1,0,12.9,N
2016-02-03,4분위수,77,641,27696,1132,13823,855,31078,10596,840,25295,18074,4.1,3.3,-6.4,-1.3,1.4,0,10.5,N
2016-02-04,1분위수,28,119,8767,336,3863,413,9149,3369,182,7798,5315,4.8,4.5,-3,0.4,1.7,0,7.8,N
2016-02-04,2분위수,70,280,12070,513,5725,574,13383,4456,245,11069,7589,4.9,4.1,-3.5,0.1,1.6,0,8.4,N
2016-02-04,3분위수,35,183,10214,266,4951,483,11000,3718,448,9609,6040,4.6,4,-4.7,-0.4,1.5,0,9.4,N
2016-02-04,4분위수,154,526,28548,1167,13260,1149,30757,10804,959,25582,18087,4.9,4.1,-2.4,0.7,1.9,0,7.4,N
2016-02-05,1분위수,28,119,9164,266,4137,427,9684,3386,217,7352,6362,3.4,4.2,-5.4,-1.2,1.7,0,8.7,N
2016-02-05,2분위수,21,168,12120,435,5336,539,12972,4148,435,11214,6880,3.7,3.7,-6.1,-1.3,1.6,0,9.8,N
2016-02-05,3분위수,42,154,11910,344,5066,673,11855,4407,581,10641,6875,3.3,3.5,-7.6,-2,1.3,0,10.8,N
2016-02-05,4분위수,91,519,30290,1166,16212,940,35161,11116,1061,28487,19791,3.6,3.5,-4.7,-0.9,1.7,0,8.4,N
2016-02-06,1분위수,49,77,8419,238,4511,448,8705,3910,231,7493,5801,2,4.4,-5,-2.1,2.1,0,7,N
2016-02-06,2분위수,7,126,12091,506,6054,602,13303,4536,350,11654,7137,2,3.9,-5.6,-2.3,2,0,7.6,N
2016-02-06,3분위수,56,77,12179,287,6082,448,12897,5070,273,11675,7013,1.8,3.6,-6.8,-2.9,1.5,0,8.6,N
2016-02-06,4분위수,91,492,26525,913,15042,897,29421,11636,1109,24824,18239,2.1,3.5,-5,-2.1,1.9,0,7.1,N
2016-02-07,1분위수,28,49,6761,301,5319,365,7190,4651,252,6681,5777,2.8,3.8,-7.3,-2.1,1.3,0,10.1,N
2016-02-07,2분위수,70,84,9785,287,5205,560,11067,3398,406,9030,6401,3.2,3.1,-7.6,-2.3,1.2,0,10.7,N
2016-02-07,3분위수,98,112,10482,315,6213,434,12398,4031,357,10232,6988,2.7,3.3,-9.1,-3,1.1,0,11.8,N
2016-02-07,4분위수,77,252,21275,905,12646,792,23735,9871,757,19641,15514,3.2,3.1,-6.8,-1.8,1.5,0,10,N
2016-02-08,1분위수,14,42,8748,273,5461,512,9390,4510,126,8343,6195,6.3,6.5,-3,2.1,2.5,0,9.3,N
2016-02-08,2분위수,56,147,11172,505,7363,448,12798,5682,315,11575,7668,6.7,5.4,-3.3,2,2.2,0,10,N
2016-02-08,3분위수,28,70,13471,294,8244,392,14005,6862,848,13720,8387,6.4,5.2,-5,1.7,1.9,0,11.3,N
2016-02-08,4분위수,112,196,21951,724,15547,574,26253,10778,953,22874,15684,6.8,5.6,-2.2,2.5,2.5,0,9,N
2016-02-09,1분위수,21,91,7471,210,4631,301,8543,3391,189,7153,5271,6,5.9,-2,1.5,2.3,0,8,N
2016-02-09,2분위수,77,105,11812,435,5786,455,13439,3999,322,11299,6916,6.4,4.9,-2.1,1.4,2.2,0,8.5,N
2016-02-09,3분위수,28,133,11362,399,6799,427,12925,4963,406,10842,7879,6.1,4.7,-3.6,0.8,1.9,0,9.7,N
2016-02-09,4분위수,42,287,23184,751,14171,798,27109,9715,820,22192,16250,6.1,5,-1.5,1.8,2.3,0,7.6,N
2016-02-10,1분위수,35,84,6916,266,3865,266,7589,3038,273,6468,4698,10.2,2.4,-3.2,3.1,0.8,0,13.4,N
2016-02-10,2분위수,28,168,11096,386,6384,518,13131,4126,287,11121,6941,9.6,2.9,-3.4,3,1.1,0,13,N
2016-02-10,3분위수,63,161,11355,343,5889,455,12454,4481,421,11154,6657,9.6,2.3,-5,1.7,0.8,0,14.6,N
2016-02-10,4분위수,189,315,24322,962,14537,701,30212,8690,729,23765,16567,10.5,2.7,-2.6,3.5,1.2,0,13.1,N
2016-02-11,1분위수,42,84,7300,336,3681,420,8150,2852,133,6604,4951,13.8,3.5,1,8.1,1.5,0.1,12.8,Y
2016-02-11,2분위수,77,231,9252,513,5447,560,11485,3601,259,9973,5932,13.5,4.5,2.1,8.6,2.3,0.1,11.4,Y
2016-02-11,3분위수,28,175,9559,350,4854,385,10513,3596,731,9255,5970,14.1,3.4,-0.6,7.5,1.5,0.1,14.6,Y
2016-02-11,4분위수,77,492,23981,1112,13582,1157,27747,9975,1102,23169,16812,14.5,3.9,2.4,8.9,2.1,0.4,12.1,Y
2016-02-12,1분위수,28,105,7815,203,4048,294,8872,3250,196,6871,5741,10.6,3.6,7.3,9,1.5,17.4,3.2,Y
2016-02-12,2분위수,21,210,12690,463,5880,532,14810,4323,378,12578,7465,10.4,4.5,7.2,8.9,2,16.6,3.2,Y
2016-02-12,3분위수,28,91,10489,294,5216,511,11658,4067,639,10583,6292,10.3,3.4,6.8,8.6,1.3,14.5,3.5,Y
2016-02-12,4분위수,49,575,27958,1174,15895,1058,35367,10700,919,27649,20395,10.7,3.9,7.5,9.2,1.9,16,3.2,Y
2016-02-13,1분위수,14,210,8865,294,4335,406,10421,4023,133,8671,6312,15.1,6.2,6.8,11.5,1.8,22.2,8.3,Y
2016-02-13,2분위수,35,238,12749,484,7236,560,16801,5003,406,14159,8611,15,4.6,5.9,11.2,2,19.8,9,Y
2016-02-13,3분위수,91,182,12282,386,6860,560,15104,5007,443,12653,8461,15.2,5.1,6.4,11,1.5,21.2,8.8,Y
2016-02-13,4분위수,42,752,28029,1046,18089,1113,38838,10586,1004,30060,21481,16,5.4,5.9,11.7,1.9,16.1,10.1,Y
2016-02-14,1분위수,42,63,7809,273,3774,476,7975,3132,378,7235,4726,6.8,5.9,-5.9,-1.7,3.4,1,12.7,Y
2016-02-14,2분위수,56,196,12200,526,5899,553,14106,3994,224,11844,7033,5.9,5.4,-5.9,-1.9,2.6,0.8,11.8,Y
2016-02-14,3분위수,35,133,13955,427,6717,610,15320,5113,266,12909,8400,6.7,4.5,-5.7,-1.6,2.7,1,12.4,Y
2016-02-14,4분위수,161,469,29812,1061,14167,982,33119,10227,1405,27798,17935,5.9,5.3,-5.6,-1.7,3,1.2,11.5,Y
2016-02-15,1분위수,77,126,7535,302,2774,490,7317,2909,105,6073,4748,-1.6,4.8,-9.2,-5.1,2.6,0,7.6,N
2016-02-15,2분위수,70,140,10610,513,5337,672,12596,3234,175,10761,5916,-1.4,4.6,-9.1,-5.1,2.4,0,7.7,N
2016-02-15,3분위수,56,175,9508,301,3986,560,10112,2962,399,8723,5310,-1.5,4.6,-9.1,-5,2.2,0,7.6,N
2016-02-15,4분위수,140,385,24995,1222,11172,1136,26946,9223,749,22357,15697,-1.3,4.7,-8.7,-5,2.5,0,7.4,N
2016-02-16,1분위수,42,119,7802,238,3593,644,7747,3312,217,6863,5057,2,5.6,-5.5,-1.7,2.2,0.7,7.6,Y
2016-02-16,2분위수,7,189,10853,469,5056,623,11682,4221,371,10771,6126,2.2,5.3,-5.8,-1.7,2.1,0.4,7.9,Y
2016-02-16,3분위수,84,84,10938,506,4902,392,11883,4141,294,10736,5974,1.9,4.4,-6.4,-2.3,1.7,1,8.4,Y
2016-02-16,4분위수,98,449,26668,1131,12653,1080,29347,9827,1123,24756,16621,2.4,5,-5.1,-1.3,2.3,0.4,7.5,Y
2016-02-17,1분위수,28,91,7799,259,3320,371,7824,3099,210,6507,4997,5.5,4.7,-4,0.9,1.9,0,9.5,N
2016-02-17,2분위수,56,161,11791,576,5877,784,13427,3864,386,11112,7349,5.7,4.1,-4.4,0.8,1.6,0,10.2,N
2016-02-17,3분위수,42,147,11892,491,5456,490,13072,3898,568,10882,7146,5.2,3.9,-6.1,0,1.5,0,11.3,N
2016-02-17,4분위수,84,540,27604,1182,13433,1073,31133,9550,1094,25341,17509,5.7,3.9,-2.8,1.3,1.8,0,8.5,N
2016-02-18,1분위수,56,140,8579,280,4480,441,9373,3433,288,7844,5691,8.2,6.7,-0.4,4.3,2.9,0,8.6,N
2016-02-18,2분위수,49,273,11670,485,5855,651,13373,4077,231,11031,7301,8.4,5.8,-0.6,4.2,2.4,0,9,N
2016-02-18,3분위수,77,224,11446,323,5510,651,12539,3920,491,10745,6856,8.3,5.1,-1.4,4.2,2.2,0,9.7,N
2016-02-18,4분위수,105,709,29491,1166,14260,1108,32838,10627,1193,27214,18552,8.7,4.9,0.3,4.5,2.6,0,8.4,N
2016-02-19,1분위수,49,161,9957,421,4542,490,10278,3976,393,8436,6701,5.4,4.1,1.1,3.4,1.4,0,4.4,N
2016-02-19,2분위수,84,203,13216,549,6416,595,14733,4846,294,12161,8307,5.3,2.9,0.8,3.1,1.2,0,4.5,N
2016-02-19,3분위수,84,231,12043,350,5759,708,12821,4531,407,11462,7005,5.4,3,-0.3,2.7,1,0,5.8,N
